utc_datetime,latitude,longitude,source_file
2024-06-03 09:12:00,41.12603,16.86540,IMG_0001.jpg
2024-06-03 16:40:00,40.99810,17.22110,IMG_0007.jpg
2024-06-04 11:05:00,41.31020,19.44810,IMG_0021.jpg
2024-06-04 15:30:00,41.50790,19.79470,IMG_0033.jpg
2024-06-05 10:20:00,41.32510,19.82040,IMG_0052.jpg
2024-06-06 13:15:00,41.11240,20.08260,IMG_0071.jpg
2024-06-07 09:45:00,41.11540,20.80110,IMG_0090.jpg
2024-06-07 10:30:00,41.11610,20.78880,IMG_0094.jpg
2024-06-07 14:10:00,40.91520,20.74330,IMG_0101.jpg
2024-06-07 15:50:00,41.03130,20.78440,IMG_0108.jpg
2024-06-08 12:00:00,41.95810,21.30140,IMG_0130.jpg
2024-06-08 18:20:00,41.99480,21.42910,IMG_0141.jpg
2024-06-09 19:05:00,42.69720,23.32050,IMG_0160.jpg
